11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
2832,it is uneasy for the professor to find a substitution of using the whiteboard.,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
2833,"- Interactive (with videos) - With the share screen function, it's easy to follow what the lecturer is saying",g,n,,,g n  ,G N  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
2834,可以方便分享與題目有關的閱讀材料和資訊,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2835,use of video,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2836,I can ask questions immediately in the chat box,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2837,Enable students to have lesson at home even under the influence of Pandemic,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
2838,No good features.,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2839,無乜,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2840,Discussions during this course allow more concentration - breakout rooms are quieter.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2841,可以繼續上堂,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
2842,有自己的創作空間,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
2843,super difficult to engage in class activities,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
2844,No venue restrictions,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2845,沒有優點,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2846,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2847,"Lecturer change the arrangement of the lessons, having tutorial lessons to increase the interaction between teacher and students. It can take care of individual needs.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2848,none,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2849,convenience,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2850,仍能保持同學與老師，以及同學之間的分享和討論,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2851,同學會感於表達感受。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2852,同學更敢於問問題，透過老師的解答，豐富了對知識內容的了解,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2853,同學在zoom的發問會更多及容易，有助互動學習。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2854,睇清楚skills demonstration,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2855,讓我們能夠繼續學習,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
2856,Save time Effective,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2857,讓老師和同學之間的互動性繼續保持,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2858,Students are more active and the whole discussion atmosphere is very good.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2859,分析案例很方便，直接分析视频,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2860,老師對課堂内容進行錄製，方便我們對課程内容進行回顧。小組Presentation的展示方便清晰。,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2861,由于本门课程的理论性强，我们能够看录播回顾课程内容，进一步加强对理论的理解,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2862,The videos are clearer than offline.,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2863,可以用link打開視頻，便於重複觀看,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2864,网络问题,s,,,,s   ,S   ,Technical IT,,,,,,,,,,,,,,,,,,,,,Technical IT,,,,,
2865,互动很好,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2866,有录屏可以回顾课堂内容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2867,展示案例可以录屏以便随时复习加深理解,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2868,老师能够尽量满足学生提出的要求，为学生着想,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2869,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2870,N.A.,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2871,進行presentation很困難。,h3,,,,h3   ,H3   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2872,能讓學生更輕鬆地學習，時間使用也更彈性,d,e,,,d e  ,D E  ,"Learning environment, Time management",,,,,,Learning environment,Time management,,,,,,,,,,,,,,,,,,,
2873,Timesaving,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2874,PPT looks clearer and it is more convenient to find information during the online teaching.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2875,同學可以透過文字的方式問題題，多了一個渠道讓同學可以勇於發表意見。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2876,可以讓同學繼續上課學習，也可佞嘗試新科技。,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
2877,时间灵活,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2878,同學更願意用文字（chatroom內）發問及表達想法,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2879,More flexible,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2880,可以方便快捷地進行學習，而且老師教學內容精彩豐富。因此網上學習成效也不錯。,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2881,方便小組討論presentation,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2882,反馈更加及时,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2883,有錄屏可以回顧內容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2884,Easier to ask question,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2885,老師會錄屏，可以反覆觀看。,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2886,less interaction and discussion between classmates,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2887,仍然維持有學習,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
2888,授课过程中更容易参与互动，因为在对话框中打出问题会比在课堂中举手作答更容易。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2889,"as same as teaching in class, Leiah is very excellent to express and demonstrate the content of this course. She is very kind.",r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
2890,"The talk is much more flat, and the information/speech/lecture from one terminal can be delivered to every terminal clearly.",n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2891,discussion more deeply,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2892,"I think it is really good to separate the big class into two groups for different session, where we got more chance to speak up in class and can have more in-depth discussion.",g,h,,,g h  ,G H  ,"Interaction & communication, Facilitation of group discussion and group works",,,,,,,,,Interaction & communication,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2893,"Professor Leilah will make recordings with PowerPoint to explain the main ideas and key points of readings. It is very helpful to understand the readings and to arrange my studying time, which helps us  have more time to discuss the ideas or questions about the authors.",k,g,j,,k g j ,K G J ,"Interaction & communication, Learning content/ resources, Self-organised learning",,,,,,,,,Interaction & communication,,Learning content/ resources,Self-organised learning,,,,,,,,,,,,,,
2894,可以采取小課堂教學，互動的機會更多，更方便,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2895,效率比较高。,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2896,None,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2897,you can listen back to the recording,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2898,I could review through the recording.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2899,"Prof Leilah sends out the teaching notes (ppt + audio explanation) prior to Zoom meeting, allowing students to reviews back and forth to get more understanding before actual class, this is very helpful.Prof Leilah has been fast in answering any questions raised either in email or in Blackboard forum even if we can't meet face to face.Prof Leilah has been showing high level of compassion in addressing students' concerns even via the on-line platform.",k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
2900,Split the class into small groups and enhance discussion PowerPoint with audio given to students beforehand for preparation and enhance discussion,h,j,k,,h j k ,H J K ,"Facilitation of group discussion and group works, Learning content/ resources, Self-organised learning",,,,,,,,,,Facilitation of group discussion and group works,Learning content/ resources,Self-organised learning,,,,,,,,,,,,,,
2901,everybody can really engage in the discussion.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2902,"Leilah is a wonderful teacher and she made great efforts to help us get good outcomes through Zoom. 1. She prepared very clear PPT with audio, so we can learn the contents before the lecture, which is quite helpful! It is better than in-person lecture. 2. She organizes the course very well. She lists five problematics to training our thinking in each lecture. The same problematics, different authors , which makes me think, think and think. It's difficult for me, but quite interesting!!!3. She will encourage us to talk more, during the lecture, because we already read the readings, watched the videos, and learned the PPT with her audio. So, we can discuss a lot during the lecture. Her way to inspire we students to think and talk is quite useful! 4. She recap the ideas very well.I can't show my thanks to Leilah, an excellent teacher!",j,r,g,,j r g ,J R G ,"Interaction & communication, Learning content/ resources, On instructor",,,,,,,,,Interaction & communication,,Learning content/ resources,,,,,,,,,On instructor,,,,,,
2903,The discussion is less intimidating because the class has been split into smaller sessions!,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2904,"Prof. upload ppt with audio explaining the content, which allows students to go back to the topic easier",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2905,"The form of having audio with slides before class meeting and having smaller groups of class discussion really works out in a great way! Theories are always abstract and difficult to grasp especially for those who never touch upon social science before, but this way of preparing the class makes it possible to absorb and digest theories quite smoothly.",h,k,,,h k  ,H K  ,"Facilitation of group discussion and group works, Self-organised learning",,,,,,,,,,Facilitation of group discussion and group works,,Self-organised learning,,,,,,,,,,,,,,
2906,"Recording of the lecture allows us to view the lecture once again after the course. teacher would pre record the lecture on her powerpoint, allowing us to prepare for the lecture better and can go straight into discussion of the topic.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2907,students are separated into 2 classes with fewer participant to enhance chance of active discussion,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2908,Mentor did the right shift in the teaching method to enhance the learning outcomes.,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
2909,Travel time on Saturday is saved while lecture delivery seems to be maintained in face-to-face lectures.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2910,Good interactive communication,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2911,"Flexibility - for example, when talking about certain topics, teacher and students can easily go online to search for relevant materials and discuss. Efficiency - saving travelling time to the campus.",q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2912,"I save lots of traveling time, so I can read more readings than I did in last semester.",e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2913,The discussion is more open mind and with less physical contact and group comformity.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2914,there are breakout rooms which facilitates discussion. Discussion is a key for inspiring us to think and rethink.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2915,老師教學有心機準備也有切合的互動,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2916,Can invite different guest speakers,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
2917,"老師可以即時解答學生的疑問。 網上教學減少時間限制, 令上課時間更充裕。 可以錄影, 溫習時重看可更有效地學習。",k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
2918,"老師善用chatbox, 所以平日較害羞的同學都可以勇於發表意見。老師很多有意義的例子分享，用zoom不怕場地問題，不怕overrun。謝sir是個很有熱誠的老師，感受到他很努力用新系統教學，希望他未來都會一直教同學。",g,f,,,g f  ,G F  ,"Organization of class, Interaction & communication",,,,,,,,Organization of class,Interaction & communication,,,,,,,,,,,,,,,,,
2919,The voice maybe not so clear when having classroom based teaching and it becomes better when having zoom lecturing. It is good to have recording for us to have revision.,k,n,,,k n  ,K N  ,"Self-organised learning, Clarity of delivery",,,,,,,,,,,,Self-organised learning,,Clarity of delivery,,,,,,,,,,,,
2920,with a lot of videos and different speakers can broaden my horizons in this course.,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2921,can have video recording (although prof can also record it during face-to-face teaching) have discussion rooms,k,h,,,k h  ,K H  ,"Facilitation of group discussion and group works, Self-organised learning",,,,,,,,,,Facilitation of group discussion and group works,,Self-organised learning,,,,,,,,,,,,,,
2922,能夠在家中學習,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
2923,能錄影 之後可以睇番,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2924,"本科高度要求同學討論以帶出教學內容..但由於網上教學.少同學願意開MIC說話,導致很難討論 老師講解清晰,但NOTES結構安排混亂(不知道上一張與下一張的連繫是甚麼),雖然聽講課可以明白到NOTES的結構, 但亦很容易錯過老師所講解的結構,因而不知道SLIDE與SLIDE之間的關聯性",h,n,,,h n  ,H N  ,"Facilitation of group discussion and group works, Clarity of delivery",,,,,,,,,,Facilitation of group discussion and group works,,,,Clarity of delivery,,,,,,,,,,,,
2925,Students can have a chance to watch the record lesson.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2926,促進同學發問和表達意，如用黑板（匿名）/分組討論功能等，上課時聽不懂可以到Blackboard重新聽到明白爲止,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2927,網上教學更容易邀請（減低了時間或地域所限）與課題相關的講者分享經驗，豐富學習,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
2928,can discuss online. Tse Sir is a nice teacher.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2929,可以錄影重溫,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2930,可以網上重溫課程 感受到老師用心教學,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2931,- students can ask questions using the chat box function,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2932,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2933,"有討論時間 老師能啟發我們思考 嘉賓Talk仍可以zoom方式進行, 及講述多些實務例子",n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2934,"with the use of chat room in Zoom, seem more students would share comments, at least i find it as a good platform to share my opinions even if i do not really 'talk' much.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2935,便于共享公屏、观看一些对教学有益的视频，师生方便沟通，作出评价。,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2936,對於時間的掌控更為精確，另外空間上對學習環境沒有影響,e1,,,,e1   ,E1   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2937,使用了很多影像资料辅助教学，很有趣味。,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2938,Professor Huang has provided lots of resources for us to understand the lecture better.,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2939,"It seems that the lectures supposed to be delivered in the classroom are well delivered online. But I have to say, personally, I learn better when I take classes in the classroom.",q1,b1,,,q1 b1  ,Q1 B1  ,"Prefer F2F, Overall convenience ",,,Prefer F2F,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2940,无法进行field trip,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
2941,share媒體內容比較方便,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2942,音頻和視頻可以調節，老師的聲音非常清楚，幻燈片清晰，注意力集中,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2943,线上教学对本科的优点跟在班级里上学差不多，都能很清晰的听到老师的教学，然后能感受到老师非常用心的准备,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2944,Students can express their opinions through chat freely at any time during the class and teacher can make a quick response to these questions,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2945,chat的功能比較實用，老師能夠實時看到同學們的反饋，且可以選擇不公開地反饋給老師,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2946,The teacher's voice is clear since we can adjust the volume of our earphone. We concentrate on the screen because the ppt is easy to be seen in the middle. The chance of disscusion increase because there is a chatbox in zoom.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2947,Lots of interesting youtube videos that are relevant to the topics of discussion,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2948,有很多有趣的教学视频,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2949,"Anthropology learning requires actively face to face discussion, which online learning limits the possibility.",b1,,,,b1   ,B1   ,Prefer F2F,,,Prefer F2F,,,,,,,,,,,,,,,,,,,,,,,
2950,It is good that each class is being recorded that we could revisit the ideas discussed in class.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2951,I guess doing presentation online is less stressful than in the classroom...,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2952,Save commuting time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2953,face-face communication in tutorial,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
2954,promoted the communication between teacher and students,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2955,"Class discussions have been more active compared to face-to-face teaching. For shy students like myself, I have never spoken this much in class! The online setting has made it easier for me to open up.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2956,The recording function is really benefitial for reviewing.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2957,"It enables more discussion on certain topics. By using the break-out rooms, it allows more discussion with different classmates every time, and usually not so familiar with.",h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2958,So far it is smooth and easy to use Zoom,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2959,方便，促進互動,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2960,"Small group discussion with classmates I haven't met is now possible. In additional to just listening to the professor's materials, we can also get to know how my classmates feel about the topics being discussed through their camera.",h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2961,"I think it is really good that by using zoom I feel more secure and have more chance to present my own ideas and raise questions in class, especially in Prof. Mathews' relatively big class with lots of students. The break-up room function is cool too to facilitate and encourage discussions with classmate. Prof. Mathews uses the polling function in almost every class, which I think is really a nice way to engage the class. Also, this may sound trivial, but I really like that I can see my fellow classmates' face and reactions instead of only Professors' in normal classroom.",o,h,g,,o h g ,O H G ,"Interaction & communication, Facilitation of group discussion and group works",,,,,,,,,Interaction & communication,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2962,1. anytime and anywhere,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2963,It is time saving and easy to use the platform to study.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
2964,the discussion is high effective,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2965,跟老師的對話更方便,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2966,We can take the course no matter where we are,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2967,it's easier to communicate with the teacher and sometimes can share the screen to make some points more understandable.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2968,高效，清晰。,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2969,The teacher jumping out at each breakout room can facilitate the discussion immediately; students can ask for teacher's help by clicking the 'help' button without bothering other students.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2970,可以与老师进行互动,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2971,"totally no advantages. This course originally has several field trips that can't be run through online. Moreover, the efficiency of discussion dropped 100%.Paper materials can't be shared by professor.",b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2972,没有,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2973,we can access and explore the online museum resource which was ignored by us in the normal life.,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
2974,同学们回答问题时会比较积极,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
2975,內容安排更加合理,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
2976,None,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2977,和线下教学一样，无功无过,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
2978,"We can watch the recording again.Although online course is good, I prefer to attend class in person.",k,b1,,,k b1  ,K B1  ,"Prefer F2F, Self-organised learning",,,Prefer F2F,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
2979,"In tutorials, students get to prepare slides and other additional online materials to better present the topics they deliver.",h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2980,能够更好的看资料，但总体来说并没有什么优势,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
2981,Students give online presentations in groups.,h3,,,,h3   ,H3   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2982,None,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2983,it is convenient to make an online presentation,h3,,,,h3   ,H3   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
2984,reduction of the time of fieldwork,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
2985,none,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2986,教師表述清晰，討論質量高。,g,n,,,g n  ,G N  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
2987,老师讲课思路清晰，风格风趣幽默。课程内容设置很有趣。网上教学也能很清楚的感受到老师的有趣的情绪。,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
2988,there is no good features at all,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
2989,No,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
