9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
2477,"Due to the confidential issues, we can't watch videos of counseling sessions, this affect our understanding on skills and approaches used in therapy.",j,,,,j   ,videos - confidentiality,,,,J   ,Course material,videos - confidentiality,,,,,,,,,,,,,videos - confidentiality,,,,,,,,,,,
2478,"It was a pity that the clinical video cannot be shown through the online teaching because of the ethical issue. If the video can be shown, the learning process can be much better facilitated.",j,,,,j   ,videos - confidentiality,,,,J   ,Course material,videos - confidentiality,,,,,,,,,,,,,videos - confidentiality,,,,,,,,,,,
2479,因本科原有很多real life case recordings，但礙於confidentiality限制，教授未能於Zoom播放予同學觀看，錯過了難得而寶貴的學習機會。,j,,,,j   ,videos - confidentiality,,,,J   ,Course material,videos - confidentiality,,,,,,,,,,,,,videos - confidentiality,,,,,,,,,,,
2480,Less chance to observe case demonstrations,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2481,網上教學難以避免紙上談兵的問題，因為缺乏臨床觀察及實戰經驗的學習，感到十分遺憾。,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
2482,can try other learning online platfrom,y,,,,y   ,another software,,,,Y   ,Choice of platform,another software,,,,,,,,,,,,,,,,,,,,,,another software,,
2483,"Don’t use zoom regarding its privacy and security issue, but do consider other online platforms",y,s,,,y s  ,no zoom,,,,Y S  ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2484,"由於課程內容教授家庭治療，應用理論知識很重要，因疫情而暫停clinical observation, 教授的個案video亦因私隱問題不能播放，故此在學習如何應用實踐上有很大限制。",L,j,,,L j  ,hands-on experience,course materials,,,L J  ,"Learning activities, Course material","hands-on experience, course materials",,,,,,,,,hands-on experience,,,,course materials,,,,,,,,,,,
2485,I prefer classroom lesson instead of online.,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
2486,lack of clinical video due to online teaching,j,,,,j   ,videos - related topics,,,,J   ,Course material,videos - related topics,,,,,,,,,,,,,videos - related topics,,,,,,,,,,,
2487,少了互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2488,"Due to confidentially, limited demonstration",n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2489,screensharing videosdifficult to find grpmates through email,n,h,,,n h  ,sharescreen,grouping,,,N H  ,"Discussion/ Group work, Clarity of delivery","grouping, sharescreen",,,,,,,,,,,,grouping,,,,sharescreen,,,,,,,,
2490,leave out group work,h,,,,h   ,group work,,,,H   ,Discussion/ Group work,group work,,,,,,,,,,,,group work,,,,,,,,,,,,
2491,"always need cam open given that zoom is not secure n I want a shift of tutorials too for more insights from different people eg. some students from different backgrounds, I want to hear their opinions",u,s,,,u s  ,tutorial,privacy/ security risk,,,U S  ,"Course, IT-related","tutorial, privacy/ security risk",,,,,,,,tutorial,,,,,,,,,,,,privacy/ security risk,,,,
2492,"it is hard for students to communicate with each other, especially for the group presentation it is hard to deliver ideas in organising the project, communicating and presenting  with little instruction is given only by emails",g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
2493,"Stop using ZOOM, it has privacy leaking danger.",y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2494,P/F grading system is needed!!!!stop using zoom!!!stop sending our data to china!!!!!cancel all exam!!!!no exam invigilator is needed!!!!,p,,,,p   ,P/F,,,,P   ,Assessment,P/F,,,,,,,,,,,,,,,,,,,P/F,,,,,
2495,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2496,Field trip unavailable,L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
2497,"strongly recommend using alternative platforms rather than ZOOM due to security concerns, I don't want to be monitored by Xi when speaking of Hong Kong issues and terrorism discussions.",y,,,,y   ,another software,,,,Y   ,Choice of platform,another software,,,,,,,,,,,,,,,,,,,,,,another software,,
2498,The internet condition is suck,s,,,,s   ,internet/ wifi,,,,S   ,IT-related,internet/ wifi,,,,,,,,,,,,,,,,,,,,internet/ wifi,,,,
2499,"Online teaching limits the interaction with students, esp. when students are less motivated to speak comparing to face-to-face meeting.",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2500,No zoom.,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2501,可以增加小組討論 網上教學的模式非常影響對學科內容的掌握 認為網上教學浪費了導師的準備,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2502,無得互動 無得做現場demon,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2503,導師與學生，以及學生與學生的交流有限制,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2504,善用zoom的分組討論功能，有助同學即時討論。 因不能確保保密原則，部分clinical live video 無法播放影響教學。,h,j,,,h j  ,group discussion,videos - related topics,,,H J  ,"Discussion/ Group work, Course material","group discussion, videos - related topics",,,,,,,,,,,,group discussion,videos - related topics,,,,,,,,,,,
2505,如有更多個案示範，效果會更好，更能與powerpoint的內容相輔相成。,j,,,,j   ,course materials - case,,,,J   ,Course material,course materials - case,,,,,,,,,,,,,course materials - case,,,,,,,,,,,
2506,"沒有CASE DEMONSTRATION, 對MARITAL COUNSELLING 手法理解較差",n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2507,-everyone may need to switch on the camera and let the lecturer see them  -more communication means may be used,g,,,,g   ,communication,,,,G   ,Interaction,communication,,,,,,,,,,,communication,,,,,,,,,,,,,
2508,It would be great if more videos of case studies can be shared as teaching materials Discussion among chat rooms would be good to stimulate sharing of ideas,h,j,,,h j  ,discussion,videos - more,,,H J  ,"Discussion/ Group work, Course material","discussion, videos - more",,,,,,,,,,,,discussion,videos - more,,,,,,,,,,,
2509,可增加影片或其他示範工具，因口頭表達過於形象化和抽象，針對性和深入程度較低,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2510,能有更多的case demonstration,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2511,DIFFICULT TO DISCUSS WITH CLASSMATES OR HAVE CASE DEMONSTRATION,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2512,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
2513,不能做到角色扮演等,L,,,,L   ,oral practice/ role play,,,,L   ,Learning activities,oral practice/ role play,,,,,,,,,oral practice/ role play,,,,,,,,,,,,,,,
2514,未能看到老師真實的示範,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
2515,因隱私的限制，而無法播放真實臨床影片,j,,,,j   ,videos - confidentiality,,,,J   ,Course material,videos - confidentiality,,,,,,,,,,,,,videos - confidentiality,,,,,,,,,,,
2516,Fully utilize the features of zoom,o,,,,o   ,zoom functions,,,,O   ,Tools for learning,zoom functions,,,,,,,,,,,,,,,,,zoom functions,,,,,,,
2517,互動少了很多；而且欠缺在課堂示範，或分組體驗輔導歷程的經驗，實在可惜！,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2518,I am very concerned about the internet safety issue of using ZOOM at the main media for the online teaching,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
2519,Nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2520,face-to-face please,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
2521,冇得field trip :(,L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
2522,有時候microphone比較小聲，如果對mic講會比較清晰。,s,,,,s   ,microphone,,,,S   ,IT-related,microphone,,,,,,,,,,,,,,,,,,,,microphone,,,,
2523,疫情底下，無辦法外出考察本地文化遺址及遺產，許多地方關閉，網上資源難以取替實地考察,w,,,,w   ,library/ e-resources,,,,W   ,Learning support,library/ e-resources,,,,,,,,,,,,,,,library/ e-resources,,,,,,,,,
2524,有時家中網絡不穩定真的沒有辦法。能否考慮不是zoom的其他網上教學平台？zoom 近期爭議大,s,y,,,s y  ,network connection,another software,,,S Y  ,"IT-related, Choice of platform","network connection, another software",,,,,,,,,,,,,,,,,,,,network connection,,another software,,
2525,"網上教學令field trip延期了, 很可惜",L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
2526,zoom有機會泄漏個人資料，學生感到不安全，希望日後能轉用其他系統在老師共享螢幕觀看影片時，間中有所延誤，出現聲畫不同步的問題,s,x,,,s x  ,privacy/ security risk,videoplay issue,,,S X  ,"IT-related, Videoplay issue","privacy/ security risk, videoplay issue",,,,,,,,,,,,,,,,,,,,privacy/ security risk,videoplay issue,,,
2527,原本的hands on experience因為網上教學而無法進行，不能親手觸碰教具或親眼觀察人骨標本,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
2528,Sometimes breakout rooms are all crickets. Try to formulate better questions maybe,h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
2529,"The format of examination. In this course, there is a midterm exam conducted via blackboard. Compared to written exam, online exam is very inconvenient for students, perhaps its becuase this is the first time for us to do an exam online, most of us are not getting used to it. At some extend, I think writing the answers with a pen would be more efficient then typing.",p,,,,p   ,exam,,,,P   ,Assessment,exam,,,,,,,,,,,,,,,,,,,exam,,,,,
2530,"Even the instructor requires everyone to turn on their camera, most people don't want to.",f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
2531,learning atmosphere during tutorials is relatively not as engaging as that of proper classes,u,,,,u   ,tutorial,,,,U   ,Course,tutorial,,,,,,,,tutorial,,,,,,,,,,,,,,,,
2532,No field trip,L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
2533,The quality of video sharing was unsatisfactory,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
2534,"cant have field trip, just could watch video",L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
2535,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2536,十分擔憂便用Zoom的安全性和保密性，希望可以轉為使用其他網絡會議軟件,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
2537,All fieldtrips are cancelled.,L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
2538,互動、參與性較低，即是有breakout room都不能確保所有人開mic說話／發表意見,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2539,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2540,Should have zoom recording.,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
2541,電腦網絡有待改善。,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2542,I hope the lectures can be recorded and can be viewed later,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
2543,網絡不穩定導致斷線,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2544,"Hard to concentrate when taking courses at homeHome is not a good environment having classes as it is hard to concentrateEnvironment at home are not  always available  for lectureslittle interaction, especially direct communication as no face to face communication",d,g,,,d g  ,concentrate,communication,,,D G  ,"Learn environment, Interaction","concentrate, communication",,,,,,concentrate,,,,,communication,,,,,,,,,,,,,
2545,沒有面對面的討論,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2546,可多加動畫。,j,,,,j   ,course materials,,,,J   ,Course material,course materials,,,,,,,,,,,,,course materials,,,,,,,,,,,
2547,加強討論,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2548,Can make use of break out room for group discussion,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2549,Nope,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2550,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2551,可以將上課的內容錄影上傳到blackboard方便同學複習,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
2552,more resources could be provided,j,,,,j   ,more resources,,,,J   ,Course material,more resources,,,,,,,,,,,,,more resources,,,,,,,,,,,
2553,沒法去中大散步課堂,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2554,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2555,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2556,Interaction between students and teacher is not enough.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2557,暫無,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2558,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2559,稳定性,s,,,,s   ,system stability,,,,S   ,IT-related,system stability,,,,,,,,,,,,,,,,,,,,system stability,,,,
2560,無。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2561,网上教学难以实现面授教学的效果,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
2562,Balance the pre time of each student,v,,,,v   ,others,,,,V   ,Others,others,,,,,,,,,,,,,,,,,,,,,,,others,
2563,网络不好,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2564,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2565,I think it's really difficult to stimulate as much discussion as in face-to-face teaching.,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2566,面對面，親身是最好,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
2567,討論較難處理，始終未能看到每位同學的身體語言，但教授仍很努力，嘗試很多方法處理這限制。,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2568,導師已盡力作安排，沒有其他意見,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
2569,haven't a instant consultation with lecturer,g,,,,g   ,consultation,,,,G   ,Interaction,consultation,,,,,,,,,,,consultation,,,,,,,,,,,,,
2570,１）有些時候，網絡不穩定，會影響聽課。２）分組討論時間有時太長，有時太短。有時未聽清楚指示，便進入分組中，因而不知題目。這些都會影響分組的學習效果。３）個人的電腦配備及家居環境（如WIFI收不到訊息），都會影響學習。,f,s,,,f s  ,too long,network connection,,,F S  ,"Class planning, IT-related","too long, network connection",,,,,,,too long,,,,,,,,,,,,,network connection,,,,
2571,"However, sometimes the immediate response and interaction disturbed the class's original arrangement which hindered others' learning",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2572,Difficult to have multiple groups in-class presentation at the same time.,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
2573,好RUSH，內容很多很難，但每次已經OVERRUN不少，都未能講晒所有內容。,f,,,,f   ,overrun,,,,F   ,Class planning,overrun,,,,,,,overrun,,,,,,,,,,,,,,,,,
2574,- Discussion time can be reduced especially for the breakout room as the students do not discuss during the breakout room- The number of students in a breakout room can be reduced as it is uneasy to communicate with others online,h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
2575,"In fact, it is quite difficult to conduct discussion through online system as some of the classmates may not be physically present in front of the screen. I think the length and times of the discussion session can be reduced.",h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2576,It spends lots of time on the technical problems.,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
2577,- Do not have much discussion during the lesson- less face-to-face discussion,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2578,多次分組討論，但很多時候輪題欠清晰，也欠討論方向，討論時間也嚴重不足。,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2579,需要提醒教授的網速。提醒教授不要搖來搖去。建議教授使用多於1個裝置進入，以便了解正在進行怎麼樣的操作。請教授找RA幫忙處理技術問題,s,,,,s   ,bandwidth,,,,S   ,IT-related,bandwidth,,,,,,,,,,,,,,,,,,,,bandwidth,,,,
2580,小組報告容易有technical problem,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
2581,"When having discussions and presentations, it is not a good experience. Handing in assignment and/or quizzes is difficult.",p,h,h,,p h h ,quiz/ test,discussion,group presentation,,P H H ,"Discussion/ Group work, Assessment","discussion, quiz/ test",,,,,,,,,,,,discussion,,,,,,,quiz/ test,,,,,
2582,提供「Pass or Fail」之評核模式,p,,,,p   ,P/F,,,,P   ,Assessment,P/F,,,,,,,,,,,,,,,,,,,P/F,,,,,
2583,Zoom分享的影片十分不順暢，而且私隱問題亦備受關注,x,,,,x   ,Videoplay issue (lag),privacy,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
2584,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2585,同學之間的互動較少。,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2586,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2587,無,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2588,老師難以監察同學的情況,n,,,,n   ,monitor/ check understanding,,,,N   ,Clarity of delivery,monitor/ check understanding,,,,,,,,,,,,,,,,monitor/ check understanding,,,,,,,,
2589,師生互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2590,受网络影响老师的授课有延迟或者卡顿,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2591,改變原有課堂活動方式,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
2592,网络经常卡顿。,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2593,评核制度,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
2594,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2595,因面對面交流受限，在課堂互動上需要額外設計,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2596,监管,v,,,,v   ,supervision,,,,V   ,Others,supervision,,,,,,,,,,,,,,,,,,,,,,,supervision,
2597,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2598,與同學的互動可更多,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2599,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2600,交流麻煩,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2601,Network connection,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2602,no discussion,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2603,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2604,可以熟用zoom各項功能,s,,,,s   ,zoom functions,,,,S   ,IT-related,zoom functions,,,,,,,,,,,,,,,,,,,,zoom functions,,,,
2605,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2606,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2607,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2608,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2609,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2610,沒有.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2611,record the video so that I could use it for revision,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
2612,討論效果欠佳,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2613,小組討論未必人人發聲,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2614,separate the class into two sessions would be better. It is hard to concentrate in front of the computer for three hours.,f,,,,f   ,teaching time,,,,F   ,Class planning,teaching time,,,,,,,teaching time,,,,,,,,,,,,,,,,,
2615,沒錄影很可惜,k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
2616,none,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2617,網上教學的網絡連線可以更佳,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2618,技術問題,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
2619,有否其他網上會議軟件代替Zoom，甚多傳聞對Zoom的安全/私隱保障含質疑，雖然不能肯定其可信度，但會惹起不安。,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2620,Nothing,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2621,暫無。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2622,Some students are not participating in group discussion. It is unfair to students who have to present the discussion result in class and handed in the classwork after the lesson.,h,,,,h   ,group discussion,,,,H   ,Discussion/ Group work,group discussion,,,,,,,,,,,,group discussion,,,,,,,,,,,,
2623,應該重新訂定功課內容延長考試時間 因有些同學打字比較慢,p,M,,,p M  ,exam,assignment,,,P M  ,"Assignment, Assessment","assignment, exam",,,,,,,,,,assignment,,,,,,,,,exam,,,,,
2624,較少課堂上的討論,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
2625,無法令同學時刻專注。,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
2626,少了交流,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2627,可能課堂在網上教學下顯然比較沉悶，使學生缺乏專注力,d,,,,d   ,not interesting/ boring,,,,D   ,Learn environment,not interesting/ boring,,,,,,not interesting/ boring,,,,,,,,,,,,,,,,,,
2628,优化网站,s,,,,s   ,system stability,,,,S   ,IT-related,system stability,,,,,,,,,,,,,,,,,,,,system stability,,,,
2629,关于互动的环节还是没有现场教学的好。,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2630,多點互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2631,-,a,,,,a   ,,,,,A   ,Blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,
2632,zoom的連線問題和安全疑慮,s,,,,s   ,network connection,security,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
2633,P/F grading,p,,,,p   ,P/F,,,,P   ,Assessment,P/F,,,,,,,,,,,,,,,,,,,P/F,,,,,
2634,It is difficult to do classwork because we need to type in Chinese.,M,,,,M   ,classwork,,,,M   ,Assignment,classwork,,,,,,,,,,classwork,,,,,,,,,,,,,,
2635,缺乏師生互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
2636,Dont use zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
2637,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
2638,可以變得更有趣 在匯報的時候 有點沈悶,d,h,,,d h  ,not interesting/ boring,group presentation,,,D H  ,"Learn environment, Discussion/ Group work","not interesting/ boring, group presentation",,,,,,not interesting/ boring,,,,,,group presentation,,,,,,,,,,,,
2639,"Zoom may be not secure, other software can be used.",y,,,,y   ,another software,,,,Y   ,Choice of platform,another software,,,,,,,,,,,,,,,,,,,,,,another software,,
